OOOBOOOOOOOOOOOBIOBI, Trânsito bom na Amazonas e há trechos maior volume mas fluindo principalmente sentido bairro bom Via Expressa próximo Metro Gameleira ,Notification,0,0,0,0,OOOBOOOOOOOOOOOBIOBI,OOOBOOOOOOOOOOOBIOBI,OOOBOOOOOOOOOOOBIOBI,Notification,Notification,Notification,578fb11f77bea,57b4d7be3058a,579df7d7a1f31,00nFi5Wagw
OOOOOOBIIOBIIIIOBI, Atualização Via liberada no acidente na Via do Minério com rua Geraldo Heredia do Nascimento sentido Estação Diamante ,Notification,0,2,0,2,OOOOOOBIIOOBIIIOBI,OOOOOOBIIOBIIIIOBI,OOOOOOBIIOBIIIIOBI,Notification,Notification,Notification,579df7d7a1f31,57c569391e177,57e7e133bbf9c,01YyXxGn7v
OOOOBOBBOBOBOOBIOOBII, Trânsito está lento na Andradas com Contorno Amazonas com Bahia e Caetés refletindo na Espírito Santo e no Viaduto do Floresta ,Alert,0,0,0,0,OOOOBOBBOBOBOOBIOOBII,OOOOBOBBOBOBOOBIOOBII,OOOOBOBBOBOBOOBIOOBII,Alert,Alert,Alert,578fb11f77bea,579df7d7a1f31,57c569391e177,05QZMBB8xo
OOOBOOOOOOOOOOOBIOBI, Trânsito bom na Amazonas e trechos com maior volume mas fluindo principalmente sentido bairro bom Via Expressa próximo Metro Gameleira ,Notification,0,0,0,0,OOOBOOOOOOOOOOOBIOBI,OOOBOOOOOOOOOOOBIOBI,OOOBOOOOOOOOOOOBIOBI,Notification,Notification,Notification,579df7d7a1f31,57de9eb604a11,57eb04ab2e6fd,07fPa2nmAk
OOOOBOOBIIOOOBOOB, Caminhão com defeito no Anel próximo a Praça São Vivente prejudica trânsito sentido Vitória refletindo na Ingaí ,Alert,0,0,0,0,OOOOBOOBIIOOOBOOB,OOOOBOOBIIOOOBOOB,OOOOBOOBIIOOOBOOB,Alert,Alert,Alert,57a7c33f6244a,579df7d7a1f31,579e226a688db,0A4yQDZBTp
OOOOOOOOBIOOOOOOOB, Trânsito bom com trechos intensos mas fluindo na Avenida Amazonas principalmente no sentido bairro até próximo o Expominas ,Notification,0,0,0,0,OOOOOOOOBIOOOOOOOB,OOOOOOOOBIOOOOOOOB,OOOOOOOOBIOOOOOOOB,Notification,Notification,Notification,578fb11f77bea,579df7d7a1f31,57c569391e177,0AlEYsxqqk
OOOBIOOBIOOBIIIOB, Trânsito intenso na Raja Gabaglia entre o BH Shopping e a Barão Homem de Melo sentido centro ,Alert,0,0,0,0,OOOBIOOBIOOBIIIOB,OOOBIOOBIOOBIIIOB,OOOBIOOBIOOBIIIOB,Alert,Alert,Alert,578fb11f77bea,579df7d7a1f31,57c569391e177,0AvcvN3jIV
OOOOOOOOOOOOOOOO, Regional Leste a 1ª Reunião Ordinária da CRTT Leste acontecerá hoje 11 02 Saiba mais site ,Notification,0,2,0,2,BIOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,Notification,Notification,Notification,578fb11f77bea,579df7d7a1f31,57c569391e177,0Gr3I2fEOm
OOOBIOOOOOOOOOBIOOBIIII, Trânsito bom na Avenida Amazonas e trechos com maior volume mas fluindo bom na Via Expressa próximo a Estação do Metro da Gameleira ,Notification,0,0,0,0,OOOBIOOOOOOOOOBIOOBIIII,OOOBIOOOOOOOOOBIOOBIIII,OOOBIOOOOOOOOOBIOOBIIII,Notification,Notification,Notification,579df7d7a1f31,578fed8279970,57de9eb604a11,0HzWVmveRJ
OOOBIOBIIIOOO, Trânsito bom na Pedro II com Elevado Dona Helena Greco nos dois sentidos ,Notification,0,0,0,0,OOOBIOBIIIOOO,OOOBIOBIIIOOO,OOOBIOBIIIOOO,Notification,Notification,Notification,578fb11f77bea,579df7d7a1f31,57c569391e177,0I0T0stjLd
OOOOOOOOOOOOOOOOBO,Confira as operações especiais de trânsito e transportes para o Carnaval 2016 em diferentes regiões de BH site ,Notification,0,0,1,1,OOOOOOOOOOOOOOOOBO,OOOOOOOOOOOOOOOOBO,OOOOOOOOOOOOOOOOOO,Notification,Notification,Notification,578fb11f77bea,57b4d7be3058a,57c569391e177,0IROG5o3jO
OOOOBIOBOBIOBOOOOOOOOBI, Trânsito está lento na Teresa Cristina sentido centro entre Est Calafate e Contorno e no sentido bairro com a alça da Silva Lobo ,Alert,0,7,0,7,OOOOOOOOOOOOBOOOOOOOOOO,OOOOBIOBOBIOBOOOOOOOOBI,OOOOBIOBOBIOBOOOOOOOOBI,Notification,Alert,Alert,57a6462dcc7b1,579df7d7a1f31,57de9eb604a11,0IaPsqELUx
OOOBIIOBIIOBIIIOBIIOBII, Trânsito bom na Avenida Carlos Luz na Avenida Pedro II no Elevado D Helena Greco na Avenida Bias Fortes na Praça Raul Soares ,Notification,0,0,0,0,OOOBIIOBIIOBIIIOBIIOBII,OOOBIIOBIIOBIIIOBIIOBII,OOOBIIOBIIOBIIIOBIIOBII,Notification,Notification,Notification,579df7d7a1f31,57c569391e177,57de9eb604a11,0JSYrsSHjA
OOOBIOOBOOOOBII, Manifestação Manifestantes ocupam Avenida Amazonas próximo a Tamóios sentido bairro liberado sentido Praça da Estação ,Alert,0,0,0,0,OOOBIOOBOOOOBII,OOOBIOOBOOOOBII,OOOBIOOBOOOOBII,Notification,Alert,Alert,579df7d7a1f31,57de9eb604a11,57eb04ab2e6fd,0K7MKNTnCU
OOOBIIOOBOOOOOOOOO, Trânsito bom na Avenida Cristiano Machado principalmente sentido centro e há trechos intensos mas fluindo no sentido bairro ,Notification,0,0,0,0,OOOBIIOOBOOOOOOOOO,OOOBIIOOBOOOOOOOOO,OOOBIIOOBOOOOOOOOO,Notification,Notification,Notification,578fb11f77bea,579df7d7a1f31,57c569391e177,0Kfgwy119X
OOOOOO, Final das operações do Twitter BHTRANS ,Notification,0,0,0,0,OOOOOO,OOOOOO,OOOOOO,Notification,Notification,Notification,579cb0e03ea76,579df7d7a1f31,57c569391e177,0KvhYZ9MHZ
OOOOOBIOOOOBIOOB, Atualização Via Liberada Acidente na Raja Gabaglia próximo ao Trevo do BH Shopping no sentido Belvedere ,Notification,0,0,3,3,OOOOOBIOOOOBIOOB,OOOOOBIOOOOBIOOB,OOOOOBIOOBIIIOOB,Notification,Notification,Notification,578fb11f77bea,57b4d7be3058a,579df7d7a1f31,0MD1Dfuv2k
OOOBIIOOOOOOOOOOO, Trânsito bom na Avenida Cristiano Machado e trechos com maior volume mas fluindo principalmente no sentido bairro ,Notification,0,0,0,0,OOOBIIOOOOOOOOOOO,OOOBIIOOOOOOOOOOO,OOOBIIOOOOOOOOOOO,Notification,Notification,Notification,579df7d7a1f31,57c569391e177,57de9eb604a11,0McuAEq6Z4
OOOOBIIOOBIIOOOOOB, ATUALIZAÇÃO Via liberada na Cardeal Eugênio Pacelli Sobre a Praça João XXIII Ainda há retenção no sentido Contagem ,Notification,0,0,0,0,OOOOBIIOOBIIOOOOOB,OOOOBIIOOBIIOOOOOB,OOOOBIIOOBIIOOOOOB,Notification,Notification,Incident,578fb11f77bea,57b9d2b577f53,579df7d7a1f31,0NWAUNNSo2
OOOBOOOOOOOO, Atualização Manifestação na Amazonas Manifestantes na calçada sem causar transtorno ao trânsito ,Notification,0,0,0,0,OOOBOOOOOOOO,OOOBOOOOOOOO,OOOBOOOOOOOO,Notification,Notification,Notification,578fb11f77bea,579df7d7a1f31,57c8e18e0eeb4,0PydaHHESc
OOOOOBOBBOOOOOOOO, Trânsito impedido na conversão da Amazonas com Sararé Jardinópolis devido a problema semafórico Equipe de manutenção empenhada ,Incident,0,0,0,0,OOOOOBOBBOOOOOOOO,OOOOOBOBBOOOOOOOO,OOOOOBOBBOOOOOOOO,Incident,Incident,Incident,578fb11f77bea,579df7d7a1f31,57c569391e177,0Q44fBXC5J
OOOBIIIOB, Trânsito intenso no Viaduto Dona Helena Greco sentido centro ,Alert,0,0,0,0,OOOBIIIOB,OOOBIIIOB,OOOBIIIOB,Alert,Alert,Alert,579df7d7a1f31,57c569391e177,57e7e133bbf9c,0QTDyQURqV
OOOOBIOBII, ATUALIZAÇÃO Via liberada na São Paulo com Augusto de Lima ,Notification,0,0,0,0,OOOOBIOBII,OOOOBIOBII,OOOOBIOBII,Notification,Notification,Notification,578fb11f77bea,579df7d7a1f31,57c569391e177,0R1b6JK4Y5
OOOBII, Trânsito bom na Avenida do Contorno ,Notification,0,0,0,0,OOOBII,OOOBII,OOOBII,Notification,Notification,Notification,579cb0e03ea76,579df7d7a1f31,57c569391e177,0SpqkOHx2N
OOOOBIIOB, Trânsito foi fechado na Rio de Janeiro com Guaicurus ,Incident,0,0,0,0,OOOOBIIOB,OOOOBIIOB,OOOOBIIOB,Incident,Incident,Incident,578fb11f77bea,579df7d7a1f31,57b4d7be3058a,0Tc24sArcb
OOOOOO, Bom dia Início das operações do ,Notification,0,0,0,0,OOOOOO,OOOOOO,OOOOOO,Notification,Notification,Notification,579df7d7a1f31,57c569391e177,57de9eb604a11,0UUVVSe29y
OOOOBIOBOBIOB, Trânsito está lento na Teresa Cristina sentido centro entre Santa Quitéria e Contorno ,Alert,0,0,0,0,OOOOBIOBOBIOB,OOOOBIOBOBIOB,OOOOBIOBOBIOB,Alert,Alert,Alert,578fb11f77bea,579df7d7a1f31,57c8e18e0eeb4,0VOua5K7aI
OOOOOBOOOBIIIOBIIIOOBOOBIOB, Trânsito intenso na região da Savassi com lentidão na N S do Carmo com R G do norte e com contorno e na Cristóvão Colombo sentido Pátio,Alert,0,0,0,0,OOOOOBOOOBIIIOBIIIOOBOOBIOB,OOOOOBOOOBIIIOBIIIOOBOOBIOB,OOOOOBOOOBIIIOBIIIOOBOOBIOB,Alert,Alert,Alert,578fb11f77bea,579df7d7a1f31,57c569391e177,0VyvouG1Qw
OOOBIIOOOOOOOOOOBOBIIOBI, Trânsito bom na Avenida do Contorno e há trechos com maior volume mas fluindo principalmente entre Raja e NS do Carmo no Santa Efigênia ,Notification,0,0,0,0,OOOBIIOOOOOOOOOOBOBIIOBI,OOOBIIOOOOOOOOOOBOBIIOBI,OOOBIIOOOOOOOOOOBOBIIOBI,Notification,Notification,Notification,579df7d7a1f31,57de9eb604a11,57ea5cf4c0707,0WPYSGraR2
OOOOBIOB, Trânsito foi fechado na Afonso Pena com Tupinambás ,Incident,0,0,0,0,OOOOBIOB,OOOOBIOB,OOOOBIOB,Incident,Incident,Incident,579e226a688db,579df7d7a1f31,57c569391e177,0X0Ez12b51
OOOBIOOOBOBIIOBIIIOOB, Trânsito lento na Cristiano Machado na alt do Floramar entre Sebastião de Brito e Deputado Último de Carvalho no sentido centro,Alert,0,0,0,0,OOOBIOOOBOBIIOBIIIOOB,OOOBIOOOBOBIIOBIIIOOB,OOOBIOOOBOBIIOBIIIOOB,Alert,Alert,Alert,578fb11f77bea,57b9d2b577f53,579df7d7a1f31,0XrUJcELVk
OOOBIIOOOOOOOOO, Trânsito bom na Avenida Cristiano Machado e há trechos com maior volume mas boa fluidez ,Notification,0,0,0,0,OOOBIIOOOOOOOOO,OOOBIIOOOOOOOOO,OOOBIIOOOOOOOOO,Notification,Notification,Notification,578fb11f77bea,579df7d7a1f31,57c569391e177,0a2bXUjsWd
OOBIIIOBIBOOOOOOO, Acidente na Barão Homem de Melo com Silva Lobo carrefour deixa o trânsito retido no sentido bairro ,Incident,0,0,1,1,OOBIIIOBIBOOOOOOO,OOBIIIOBIBOOOOOOO,OOBIIIOBIBOOOOOOB,Incident,Incident,Incident,579df7d7a1f31,57c569391e177,57e7e133bbf9c,0bEZkeMZEl
